attr,title,url,price,sd_year,bias,sd_url,sd_price,sd
3室2厅3卫-朝西-建筑面积127.3㎡-精装-高楼层(共6层),锦盛新城复式三房安静宜居,/esf/detail/1441989,9034,2005,-246.0,/xq/detail/8382,8788,锦盛新城
3室2厅1卫-朝北-建筑面积96㎡-毛坯-中楼层(共11层),盈彩美地毛坯三房中间楼层,/esf/detail/158205,9062,2010,1108.0,/xq/detail/6217,10170,盈彩美地
商铺-朝南-建筑面积152.12㎡-普装-低楼层(共2层),南朗市场旺铺！！,/esf/detail/9743577,9072,暂无数据,8.0,/xq/detail/35642,9080,南朗市场
2室2厅1卫-朝西南-建筑面积67㎡-毛坯-中楼层(共6层),锦盛新城毛坯房出售,/esf/detail/1443013,9104,2005,-316.0,/xq/detail/8382,8788,锦盛新城
4室2厅2卫-朝西南-建筑面积164㎡-毛坯-高楼层(共11层),盈彩美地三期实用电梯房源毛坯出售,/esf/detail/157849,9146,2010,1024.0,/xq/detail/6217,10170,盈彩美地
2室2厅1卫-朝西北-建筑面积76.5㎡-毛坯-低楼层(共11层),盈彩美地四期实用房源出售,/esf/detail/288808,9150,2010,1020.0,/xq/detail/6217,10170,盈彩美地
2室2厅1卫-朝南-建筑面积71㎡-毛坯-低楼层(共11层),盈彩美地四期，业主诚意出售！,/esf/detail/288578,9155,2010,1015.0,/xq/detail/6217,10170,盈彩美地
2室2厅1卫-朝北-建筑面积76.26㎡-精装-中楼层(共6层),在水一方实惠房源出售,/esf/detail/484285,9179,2005,-516.0,/xq/detail/6422,8663,在水一方
3室2厅1卫-朝西-建筑面积92㎡-精装-中楼层(共9层),精装三房出售,/esf/detail/159478,9239,2010,931.0,/xq/detail/6217,10170,盈彩美地
5室3厅6卫-朝北-建筑面积248.52㎡-毛坯-高楼层(共11层),东海岸毛坯大复式业主诚心出售,/esf/detail/6122114,9255,2010,1861.0,/xq/detail/6430,11116,东海岸花园
3室2厅1卫-朝北-建筑面积90㎡-毛坯-中楼层(共11层),盈彩美地毛坯三房,/esf/detail/288146,9333,2010,837.0,/xq/detail/6217,10170,盈彩美地
3室2厅2卫-朝西北-建筑面积107㎡-毛坯-中楼层(共11层),盈彩美地毛坯三房出售,/esf/detail/287646,9346,2010,824.0,/xq/detail/6217,10170,盈彩美地
3室2厅2卫-朝南-建筑面积107㎡-毛坯-高楼层(共11层),盈彩美地朝正南三房诚意出售,/esf/detail/288970,9346,2010,824.0,/xq/detail/6217,10170,盈彩美地
3室2厅1卫-朝北-建筑面积96㎡-毛坯-中楼层(共11层),盈彩美地三房出售,/esf/detail/159856,9375,2010,795.0,/xq/detail/6217,10170,盈彩美地
3室2厅2卫-朝西北-建筑面积107㎡-精装-高楼层(共11层),业主诚意出售,/esf/detail/298330,9439,2010,731.0,/xq/detail/6217,10170,盈彩美地
3室2厅1卫-朝西-建筑面积92㎡-精装-中楼层(共9层),盈彩美地精装三房出售,/esf/detail/159513,9457,2010,713.0,/xq/detail/6217,10170,盈彩美地
2室2厅1卫-朝东南-建筑面积93㎡-精装-低楼层(共11层),业主诚信出售,/esf/detail/289748,9462,2010,708.0,/xq/detail/6217,10170,盈彩美地
3室2厅1卫-朝北-建筑面积95㎡-精装-低楼层(共11层),盈彩美地实用房源出售,/esf/detail/156469,9474,2010,696.0,/xq/detail/6217,10170,盈彩美地
3室2厅1卫-朝北-建筑面积95㎡-精装-高楼层(共11层),视野非常不错，看山景的带装修三房,/esf/detail/156728,9474,2010,696.0,/xq/detail/6217,10170,盈彩美地
3室2厅1卫-朝北-建筑面积87㎡-毛坯-高楼层(共11层),盈彩美地毛坯三房业主诚心出售,/esf/detail/158348,9540,2010,630.0,/xq/detail/6217,10170,盈彩美地
3室2厅2卫-朝北-建筑面积110㎡-精装-中楼层(共11层),精装三房出售，采光好视野开阔,/esf/detail/288328,9545,2010,625.0,/xq/detail/6217,10170,盈彩美地
3室1厅1卫-朝南-建筑面积45㎡-普装-中楼层(共5层),业主诚心出售两房改三房,/esf/detail/10009426,9556,2013,-3587.0,/xq/detail/11513,5969,永兴新村
3室2厅1卫-朝西-建筑面积92㎡-精装-高楼层(共9层),盈彩美地精装三房出售,/esf/detail/159449,9565,2010,605.0,/xq/detail/6217,10170,盈彩美地
3室2厅1卫-朝西-建筑面积92㎡-精装-中楼层(共9层),南朗就有潜力，这是南朗比较有潜力的小区，周边配套好，户型多，,/esf/detail/159585,9565,2010,605.0,/xq/detail/6217,10170,盈彩美地
3室2厅1卫-朝东-建筑面积89㎡-毛坯-中楼层(共11层),盈彩美地小三房出售,/esf/detail/288736,9663,2010,507.0,/xq/detail/6217,10170,盈彩美地
3室2厅1卫-朝东南-建筑面积98㎡-毛坯-高楼层(共11层),单边位，业主诚心出售,/esf/detail/298328,9694,2010,476.0,/xq/detail/6217,10170,盈彩美地
3室2厅2卫-朝东南-建筑面积123㎡-精装-中楼层(共6层),云衢花园精装三房出售,/esf/detail/359020,9756,2007,-1081.0,/xq/detail/6431,8675,云衢花园
2室2厅1卫-朝南北-建筑面积84㎡-精装-中楼层(共6层),盈彩美地实用房源带装修出售,/esf/detail/2728574,9762,2010,408.0,/xq/detail/6217,10170,盈彩美地
3室2厅2卫-朝南-建筑面积110.37㎡-毛坯-中楼层(共11层),3房刚需出售,/esf/detail/160120,9785,2010,385.0,/xq/detail/6217,10170,盈彩美地
3室2厅2卫-朝南-建筑面积107㎡-毛坯-中楼层(共11层),南朗盈彩4期房毛坯采光通透.房屋很透风,/esf/detail/288949,9813,2010,357.0,/xq/detail/6217,10170,盈彩美地
5室2厅4卫-朝西-建筑面积233.45㎡-毛坯-低楼层(共1层),锦绣海湾城空中别墅带车库出售,/esf/detail/8199158,9852,2010,7023.0,/xq/detail/47825,16875,锦绣海湾城2期
3室2厅1卫-朝北-建筑面积96㎡-毛坯-低楼层(共11层),盈彩美地毛坯三房出售，带花园。,/esf/detail/159931,9896,2010,274.0,/xq/detail/6217,10170,盈彩美地
3室2厅1卫-朝北-建筑面积95.95㎡-毛坯-高楼层(共11层),盈彩美地毛坯房出售,/esf/detail/159927,9901,2010,269.0,/xq/detail/6217,10170,盈彩美地
3室2厅2卫-朝北-建筑面积101㎡-精装-低楼层(共11层),盈彩美地电梯房源带装修出售,/esf/detail/159851,9901,2010,269.0,/xq/detail/6217,10170,盈彩美地
2室2厅1卫-朝南-建筑面积75.43㎡-精装-中楼层(共6层),精装三房出售,/esf/detail/287851,9943,2010,227.0,/xq/detail/6217,10170,盈彩美地
3室2厅1卫-朝北-建筑面积95.51㎡-毛坯-高楼层(共11层),盈彩美地业主诚心出售交通方便,/esf/detail/159795,9947,2010,223.0,/xq/detail/6217,10170,盈彩美地
3室2厅2卫-朝西北-建筑面积107㎡-毛坯-中楼层(共11层),盈彩美地四期电梯毛坯房源出售,/esf/detail/287634,10000,2010,170.0,/xq/detail/6217,10170,盈彩美地
3室2厅2卫-朝北-建筑面积90㎡-豪装-低楼层(共6层),盈彩美地一期，豪华装修，业主诚意出售！,/esf/detail/287434,10000,2010,170.0,/xq/detail/6217,10170,盈彩美地
3室2厅2卫-朝南-建筑面积107㎡-毛坯-中楼层(共11层),盈彩美地朝南毛坯三房,/esf/detail/288961,10000,2010,170.0,/xq/detail/6217,10170,盈彩美地
3室2厅1卫-朝北-建筑面积90㎡-普装-低楼层(共9层),盈彩美地房源业主诚心出售,/esf/detail/288367,10000,2010,170.0,/xq/detail/6217,10170,盈彩美地
2室2厅1卫-朝东-建筑面积90㎡-豪装-高楼层(共11层),盈彩美地精装两房业主诚心出售,/esf/detail/204869,10000,2010,170.0,/xq/detail/6217,10170,盈彩美地
3室2厅1卫-朝北-建筑面积90㎡-毛坯-高楼层(共11层),3房2厅出售,/esf/detail/287983,10000,2010,170.0,/xq/detail/6217,10170,盈彩美地
3室2厅1卫-朝北-建筑面积90㎡-毛坯-高楼层(共11层),业主诚信出售,/esf/detail/288620,10000,2010,170.0,/xq/detail/6217,10170,盈彩美地
3室2厅2卫-朝南-建筑面积110㎡-毛坯-低楼层(共17层),业主诚心出售，看房随时可以约,/esf/detail/6740657,10000,2012,1441.0,/xq/detail/6487,11441,顺枫华庭
3室2厅1卫-朝北-建筑面积90㎡-毛坯-高楼层(共9层),盈彩美地毛坯三房出售,/esf/detail/286493,10000,2010,170.0,/xq/detail/6217,10170,盈彩美地
3室2厅1卫-朝北-建筑面积90㎡-毛坯-高楼层(共11层),业主诚心出售，价格实惠。,/esf/detail/287832,10000,2010,170.0,/xq/detail/6217,10170,盈彩美地
2室2厅1卫-朝南北-建筑面积82㎡-毛坯-低楼层(共6层),翠怡花园2房业主诚心出售,/esf/detail/9525522,10000,2005,3336.0,/xq/detail/45395,13336,翠怡花园
3室2厅1卫-朝东-建筑面积89㎡-精装-中楼层(共9层),盈彩三房出售诚心出售,/esf/detail/159655,10000,2010,170.0,/xq/detail/6217,10170,盈彩美地
2室2厅1卫-朝西-建筑面积82.98㎡-精装-低楼层(共9层),精装修两房，格局方正，业主诚心出售,/esf/detail/159569,10002,2010,168.0,/xq/detail/6217,10170,盈彩美地
2室2厅1卫-朝东南-建筑面积77.8㎡-精装-低楼层(共11层),盈彩美地四期实用房源出售,/esf/detail/287739,10026,2010,144.0,/xq/detail/6217,10170,盈彩美地
2室2厅1卫-朝南-建筑面积69.7㎡-精装-高楼层(共6层),南朗两房业主诚心售,/esf/detail/9994476,10043,2013,-5913.0,/xq/detail/11508,4130,南朗村
3室2厅1卫-朝东-建筑面积89㎡-精装-低楼层(共9层),盈彩美地带装修三房，业主诚意出售！,/esf/detail/159427,10112,2010,58.0,/xq/detail/6217,10170,盈彩美地
3室2厅2卫-朝北-建筑面积103.9㎡-普装-低楼层(共11层),精装3房2厅出售,/esf/detail/156421,10202,2010,-32.0,/xq/detail/6217,10170,盈彩美地
3室2厅1卫-朝北-建筑面积98㎡-豪装-中楼层(共11层),业主诚心出售,/esf/detail/288998,10204,2010,-34.0,/xq/detail/6217,10170,盈彩美地
3室2厅1卫-朝东南-建筑面积98㎡-毛坯-中楼层(共11层),盈彩美地东南向3房，少！,/esf/detail/298315,10204,2010,-34.0,/xq/detail/6217,10170,盈彩美地
3室2厅1卫-朝北-建筑面积96㎡-普装-中楼层(共11层),翠亨快线出口小区三房诚意出售,/esf/detail/156874,10208,2010,-38.0,/xq/detail/6217,10170,盈彩美地
3室2厅1卫-朝北-建筑面积96㎡-普装-低楼层(共11层),.盈彩美地实用三房业主诚意出售！,/esf/detail/159763,10417,2010,-247.0,/xq/detail/6217,10170,盈彩美地
3室2厅1卫-朝西北-建筑面积96㎡-精装-低楼层(共11层),业主诚意出售带装修房源,/esf/detail/289758,10417,2010,-247.0,/xq/detail/6217,10170,盈彩美地
